Comment,Designator,Footprint,LCSC Part #
10u,C1 C2 C4,C0603,C86275
UWT1V100MCL1GB,C10,UWT1V100MCL1GB,C445058
0.1u,C3 C5 C8 C9,C0603,C80516
EEE-1CA4R7NR,C6,EEE-1CA4R7NR,C401604
UWD1E471MCL1GS,C7 C12,UWD1E471MCL1GS,C251022
S4B-PH-SM4-TB(LF)(SN),CH2,S4B-PH-SM4-TB(LF)(SN),C265102
S2B-PH-SM4-TB(LF)(SN),CH3,S2B-PH-SM4-TB(LF)(SN),C295747
SS34FA,D1,SS34FA,C719833
CDSOT23-SM712,D2 ,CDSOT23-SM712,C404012
TPS7B82-Q1,IC1,SOP65P490X110-9N,C424924
SN65HVD75DRBR,IC2,SON65P300X300X100-9N,C98708
LM386M-1,IC3,SO08,C5375298
Green,LED1 LED2 LED3,SML0603,C2922668
2k,R1 R3,R0603,C2097078
1k,R2,R0603,C22548
680,R4 R6,R0603,C112310
120,R5,R0603,C114640
180,R8,R0603,C137786
10,R9,R0603,C109318
LM2937IMP-12NOPB,U1,SOT-223,C5220609
