Designator,Mid X,Mid Y,Layer,Rotation
C1,-5.08,-20.64,Top,0
C2,-5.08,-13.02,Top,0
C3,-20.32,8.89,Top,180
C4,-20.32,19.05,Top,180
C5,3.49,-5.08,Top,0
C6,13.34,-22.86,Top,90
C7,-9.53,13.34,Top,90
C8,-15.88,8.26,Top,180
C9,1.91,13.97,Top,180
C10,0,17.78,Top,0
C12,9.53,13.34,Top,90
CH2,-22.23,-2.54,Top,90
CH3,22.23,-2.54,Top,270
D1,-6.99,-24.13,Top,90
D2,0.32,-2.54,Top,270
IC1,-5.08,-16.83,Top,90
IC2,4.13,-2.54,Top,180
IC3,0,9.88,Top,270
LED1,-19.69,-31.75,Top,90
LED2,-6.99,-31.75,Top,90
LED3,-3.18,-31.75,Top,90
R1,-6.99,-27.94,Top,90
R2,-3.18,-27.94,Top,90
R3,-19.69,-27.94,Top,90
R4,-6.03,-1.27,Top,180
R5,-3.49,-2.54,Top,90
R6,-6.03,-3.81,Top,0
R8,-1.91,13.97,Top,180
R9,15.88,8.26,Top,180
U1,-20.32,13.97,Top,180
