Designator,Mid X,Mid Y,Layer,Rotation
C1,26.35,49.21,Top,90.0
C2,29.21,32.38,Top,0.0
C3,29.21,35.56,Top,0.0
C4,29.21,38.73,Top,0.0
C5,-28.26,28.89,Top,270.0
C6,-25.08,28.89,Top,270.0
C7,-21.91,28.89,Top,270.0
C8,-18.73,28.89,Top,270.0
C9,-26.35,49.21,Top,90.0
CH6,26.67,61.60,Top,270.0
CH7,-26.67,61.60,Top,90.0
CH8,26.67,13.97,Top,270.0
CH9,26.67,68.03,Top,270.0
CH10,-26.67,15.24,Top,90.0
CH11,-26.67,68.03,Top,90.0
LED1,26.67, 4.13,Top,90.0
R1,29.21,29.53,Top,180.0
R2,13.97,41.59,Top,270.0
R3,-13.97,40.64,Top,270.0
