Designator,Mid X,Mid Y,Layer,Rotation
C1,-16.51,-6.35,Top,0.0
C2,-13.34,-6.35,Top,180.0
C3, 2.54,-9.84,Top,270.0
C4, 2.54,-6.35,Top,90.0
C5,-1.91,-10.48,Top,0.0
CH1,11.43,-19.05,Top,0.0
CH2,-14.61,-15.24,Top,90.0
CH3,-8.89,-15.24,Top,90.0
CH4,-3.18,-15.24,Top,90.0
CH5,26.67, 7.62,Top,270.0
CH6,-26.67, 7.62,Top,90.0
CH7, 2.54,-15.24,Top,90.0
D1,-23.81,-10.16,Top,180.0
D2,-5.40,-7.30,Top,270.0
IC1,-14.92,-8.89,Top,0.0
IC2,-1.91,-7.30,Top,180.0
LED1,-20.32,-16.51,Top,90.0
LED2,20.32,-16.51,Top,90.0
R1,-20.32,-12.70,Top,90.0
R2,20.32,-12.70,Top,90.0
R3,-7.62,-4.45,Top,180.0
R4,-7.62,-7.30,Top,90.0
R5,-7.62,-10.16,Top,0.0
