Comment,Designator,Footprint,LCSC Part #
0,R7 R8,R0603,C100044
0.1u,C1 C2 C4 C6 C8,C0603,C2929177
1n,C3,C0603,C153291
1u,C5 C7 C9 C10,C0603,C86020
2k,R1 R2 R11 R21 R22,R0603,C2097078
10k,R9 R10,R0603,C98220
100,R3 R4 R5 R6,R0603,C105588
680,R20 R23,R0603,C112310
BAT54J 115,D1,SOD-323-2,C130415
BAT54J 115,D2,SOD-323-2,C130415
BM04B-SRSS-TB,CH3 CH5,BM04B-SRSS-TB,C160390
Green,LED1 LED2 LED3,SML0603,C2922668
LTC4418IUF,IC1,LTC4418IUF,C580908
SI7997DP-T1-GE3,U1 U2,POWERPAK_SO-8_VIS,C913432
SMBJ30CA,D3 D4,SMBJ30CA,C83847
