Designator,Mid X,Mid Y,Layer,Rotation
C1, 1.91,42.55,Top,90.0
C2, 3.81,42.55,Top,90.0
C3,-6.35,40.01,Top,180.0
C4, 0.00,42.55,Top,90.0
C5,-8.26,12.70,Top,270.0
C6,-6.35,30.48,Top,180.0
C7, 8.26,12.70,Top,270.0
C8, 6.35,30.48,Top,0.0
C9,-9.84,28.58,Top,90.0
C10, 9.84,28.58,Top,90.0
CH3,-24.13, 9.53,Top,180.0
CH5,24.13, 9.53,Top,180.0
D1, 6.35,40.01,Top,180.0
D2, 6.35,34.29,Top,180.0
D3,-14.92,28.58,Top,90.0
D4,14.92,28.58,Top,90.0
IC1, 0.00,36.20,Top,0.0
LED1,-8.26, 5.08,Top,90.0
LED2, 8.26, 5.08,Top,90.0
LED3,-5.71, 5.08,Top,90.0
R1,-8.26, 8.26,Top,90.0
R2, 8.26, 8.26,Top,90.0
R3,-6.35,36.20,Top,0.0
R4,-6.35,38.10,Top,0.0
R5,-6.35,32.38,Top,0.0
R6,-6.35,34.29,Top,0.0
R7,-3.81,42.55,Top,270.0
R8,-1.91,42.55,Top,270.0
R9, 6.35,38.10,Top,0.0
R10, 6.35,32.38,Top,0.0
R11,-5.71,12.70,Top,90.0
R20,-12.07,12.70,Top,90.0
R21,-17.78,12.70,Top,90.0
R22,12.07,12.70,Top,90.0
R23,17.78,12.70,Top,90.0
U1,-6.35,24.13,Top,270.0
U2, 6.35,24.13,Top,270.0
