Comment,Designator,Footprint,LCSC Part #
7V12006001,CR1,7V12006001,C5203634
0.01u,C1 C3,C0402,C272878
30p,C19 C20,C0402,C277479
1u,C2,C0402,C115046
2.2u,C4,C0402,C2997286
4.7u,C5 C7 C16,0805K,C516051
0.1u,C6 C8 C9 C10 C11 C12 C13 C14 C15 C17 C18 C21 C22 C23 C24 C25,C0402,C541464
PGB1010603MR,D1 D2,603,C142698
CDSOT23-SM712,D3 D4 D5 D6,SOT-23-3,C404012
BLM15AX601SN1D,FL1 FL2 FL3,BLM15AX601SN1D,C76886
FT4232HQ,IC1,FT4232HQ,C2651882
93LC56BT-I/OT,IC2,SOT-23-6,C190271
SN65HVD75DRBR,IC3 IC4 IC5 IC6,SON65P300X300X100-9N,C98708
SN74HC595B,IC7,QFN40P250X250X50-17N,C2682068
Green,LED1 LED2 LED8 LED10 LED12 LED14,SML0603,C2922668
Red,LED7 LED9 LED11 LED13,SML0603,C253533
470,R1 R2 R22 R23 R24 R25 R26 R27 R28 R29,R0402,C114877
680,R10 R12 R13 R15 R16 R18 R19 R21,R0402,C137948
120,R11 R14 R17 R20,R0402,C114758
10,R3 R4,R0402,C138066
15k,R5,R0402,C11476
10k,R6 R8 R30,R0402,C60490
12k,R7,R0402,C114760
2k,R9,R0402,C60488
TPS73533DRBT,U1,SON-8,C115872
USB-C-2.0,USB1,USB-C-2.0,C2927300
