Designator,Mid X,Mid Y,Layer,Rotation
C1,39.37,-5.24,Top,270.0
C2,44.45, 9.21,Top,0.0
C3,37.15, 7.94,Top,180.0
C4,37.15, 9.21,Top,180.0
C5,36.51, 5.08,Top,45.0
C6,34.93, 5.87,Top,45.0
C7,32.70, 8.89,Top,45.0
C8,33.50, 7.30,Top,45.0
C9,24.61,-5.56,Top,315.0
C10,24.29, 5.24,Top,225.0
C11,22.07, 3.02,Top,45.0
C12,31.75,-5.08,Top,315.0
C13,30.32, 6.83,Top,45.0
C14,34.29, 0.00,Top,90.0
C15,22.23,-3.18,Top,135.0
C16,28.42,-8.41,Top,315.0
C17,29.53,-7.30,Top,315.0
C18,30.48,-6.35,Top,315.0
C19,36.51,-2.54,Top,180.0
C20,36.51, 2.54,Top,0.0
C21,11.43, 7.94,Top,180.0
C22,11.43, 1.91,Top,180.0
C23,11.43,-4.13,Top,180.0
C24,11.43,-10.16,Top,180.0
C25,26.51,-11.59,Top,180.0
CR1,36.51, 0.00,Top,90.0
D1,40.80,-1.59,Top,90.0
D2,40.80, 1.59,Top,270.0
D3,10.16,10.16,Top,270.0
D4,10.16, 4.13,Top,270.0
D5,10.16,-1.91,Top,270.0
D6,10.16,-7.94,Top,270.0
FL1,40.80,-5.24,Top,270.0
FL2,33.02, 3.81,Top,225.0
FL3,31.43, 5.40,Top,225.0
IC1,27.30, 0.00,Top,225.0
IC2,34.45,-7.14,Top,225.0
IC3,14.61,10.16,Top,180.0
IC4,14.61, 4.13,Top,180.0
IC5,14.61,-1.91,Top,180.0
IC6,14.61,-7.94,Top,180.0
IC7,23.65,-9.05,Top,315.0
LED1,45.72,-5.71,Top,180.0
LED2,45.72, 5.71,Top,180.0
LED7,18.10,10.48,Top,90.0
LED8,18.10, 7.62,Top,270.0
LED9,18.10, 4.45,Top,90.0
LED10,18.10, 1.59,Top,270.0
LED11,18.10,-1.59,Top,90.0
LED12,18.10,-4.45,Top,270.0
LED13,18.10,-7.62,Top,90.0
LED14,18.10,-10.48,Top,270.0
R1,43.50,-5.71,Top,180.0
R2,43.50, 5.71,Top,180.0
R3,39.37,-1.59,Top,270.0
R4,39.37, 1.59,Top,90.0
R5,44.45, 7.94,Top,0.0
R6,28.73, 7.62,Top,225.0
R7,32.23, 4.60,Top,225.0
R8,36.04,-8.73,Top,45.0
R9,36.67,-4.92,Top,135.0
R10,13.97, 6.67,Top,0.0
R11,11.91, 6.67,Top,0.0
R12, 9.84, 6.67,Top,0.0
R13,13.97, 0.64,Top,0.0
R14,11.91, 0.64,Top,0.0
R15, 9.84, 0.64,Top,0.0
R16,13.97,-5.40,Top,0.0
R17,11.91,-5.40,Top,0.0
R18, 9.84,-5.40,Top,0.0
R19,13.97,-11.43,Top,0.0
R20,11.91,-11.43,Top,0.0
R21, 9.84,-11.43,Top,0.0
R22,19.05,10.48,Top,270.0
R23,19.05, 7.62,Top,90.0
R24,19.05, 4.45,Top,270.0
R25,19.05, 1.59,Top,90.0
R26,19.05,-1.59,Top,270.0
R27,19.05,-4.45,Top,90.0
R28,19.05,-7.62,Top,270.0
R29,19.05,-10.48,Top,90.0
R30,32.54,-3.33,Top,225.0
U1,40.96, 8.57,Top,0.0
USB1,50.80, 0.00,Top,90.0
